Date,Open,High,Low,Close,Adj Close,Volume
2017-04-07,143.789993,143.889999,142.710007,143.110001,143.110001,3040500
2017-04-10,143.039993,144.649994,141.210007,143.850006,143.850006,5807400
2017-04-11,144.279999,144.539993,141.979996,144.350006,144.350006,4621500
2017-04-12,144.850006,145.740005,143.550003,143.830002,143.830002,4387000
2017-04-13,144.250000,144.550003,142.759995,142.919998,142.919998,3685800
2017-04-17,144.429993,147.320007,144.429993,147.250000,147.250000,16364700
2017-04-18,147.339996,147.399994,140.000000,143.360001,143.360001,19671000
2017-04-19,143.369995,144.000000,138.660004,139.759995,139.759995,12395100
2017-04-20,140.300003,141.800003,139.270004,141.179993,141.179993,7248200
2017-04-21,141.389999,143.029999,140.899994,142.869995,142.869995,6824800
2017-04-24,143.610001,144.500000,143.399994,143.830002,143.830002,4800900
2017-04-25,147.460007,153.520004,146.220001,152.160004,152.160004,20674200
2017-04-26,151.529999,152.149994,148.899994,150.169998,150.169998,9274100
2017-04-27,150.600006,153.490005,149.300003,153.080002,153.080002,7719400
2017-04-28,152.710007,152.970001,150.940002,152.199997,152.199997,6366200
2017-05-01,151.910004,157.699997,151.610001,155.350006,155.350006,9031600
2017-05-02,155.759995,156.500000,154.610001,156.449997,156.449997,5384800
2017-05-03,156.289993,156.539993,154.880005,155.589996,155.589996,3931200
2017-05-04,155.589996,157.899994,154.550003,157.250000,157.250000,5582300
2017-05-05,158.550003,158.589996,155.899994,156.600006,156.600006,5341700
2017-05-08,156.550003,157.639999,155.300003,156.380005,156.380005,4818800
2017-05-09,156.100006,157.850006,155.970001,157.460007,157.460007,3911000
2017-05-10,157.820007,161.100006,156.559998,160.279999,160.279999,6869900
2017-05-11,160.330002,160.520004,157.550003,158.539993,158.539993,5677400
2017-05-12,159.110001,160.839996,158.509995,160.809998,160.809998,5092900
2017-05-15,160.250000,161.779999,159.759995,160.020004,160.020004,4972000
2017-05-16,160.500000,161.179993,159.330002,159.410004,159.410004,3464900
2017-05-17,158.089996,158.779999,153.000000,153.199997,153.199997,8184500
2017-05-18,153.610001,156.889999,153.240005,155.699997,155.699997,6802700
2017-05-19,156.149994,158.050003,155.910004,157.020004,157.020004,4091500
2017-05-22,157.860001,158.600006,156.429993,157.160004,157.160004,3744100
2017-05-23,157.750000,158.309998,156.800003,157.949997,157.949997,3370900
2017-05-24,158.350006,158.479996,157.169998,157.750000,157.750000,2970800
2017-05-25,161.000000,164.100006,160.550003,163.050003,163.050003,8561000
2017-05-26,162.839996,163.050003,161.119995,162.429993,162.429993,4834300
2017-05-30,163.600006,164.750000,162.710007,163.220001,163.220001,4828600
2017-05-31,163.610001,164.000000,160.740005,163.070007,163.070007,5328900
2017-06-01,163.520004,163.929993,161.699997,162.990005,162.990005,3896300
2017-06-02,163.419998,165.360001,162.800003,165.179993,165.179993,4259100
2017-06-05,165.490005,165.500000,163.429993,165.059998,165.059998,3875200
2017-06-06,164.949997,166.820007,164.509995,165.169998,165.169998,4382100
2017-06-07,165.600006,166.399994,164.410004,165.610001,165.610001,3353100
2017-06-08,166.119995,166.869995,164.839996,165.880005,165.880005,3719100
2017-06-09,166.270004,166.270004,154.500000,158.029999,158.029999,10292000
2017-06-12,155.300003,155.529999,148.309998,151.440002,151.440002,14114500
2017-06-13,154.380005,155.679993,150.130005,152.720001,152.720001,8484700
2017-06-14,154.339996,155.619995,150.279999,152.199997,152.199997,6461800
2017-06-15,149.440002,152.559998,147.300003,151.759995,151.759995,7319700
2017-06-16,151.449997,153.529999,150.389999,152.380005,152.380005,6909700
2017-06-19,154.289993,155.580002,152.410004,153.399994,153.399994,6544300
2017-06-20,153.679993,154.500000,151.399994,152.050003,152.050003,4878700
2017-06-21,152.500000,155.380005,152.259995,155.029999,155.029999,5803400
2017-06-22,155.130005,155.199997,153.699997,154.889999,154.889999,3769200
2017-06-23,155.009995,158.190002,153.759995,158.020004,158.020004,6250800
2017-06-26,158.779999,159.970001,156.559998,157.500000,157.500000,6016000
2017-06-27,156.619995,156.979996,150.720001,151.029999,151.029999,7424300
2017-06-28,151.639999,154.199997,150.119995,153.410004,153.410004,5589900
2017-06-29,152.820007,152.820007,148.000000,150.089996,150.089996,7142500
2017-06-30,149.759995,150.710007,148.419998,149.410004,149.410004,5213300
2017-07-03,149.800003,150.449997,145.800003,146.169998,146.169998,3908200
2017-07-05,146.580002,148.259995,145.580002,147.610001,147.610001,4627800
2017-07-06,146.130005,147.270004,144.250000,146.250000,146.250000,5486500
2017-07-07,146.649994,150.750000,146.649994,150.179993,150.179993,5561300
2017-07-10,150.339996,153.229996,149.649994,152.669998,152.669998,5360600
2017-07-11,152.369995,155.229996,151.550003,154.330002,154.330002,4898600
2017-07-12,155.770004,158.800003,155.770004,158.750000,158.750000,8481800
2017-07-13,158.509995,160.130005,156.979996,158.210007,158.210007,6700100
2017-07-14,159.300003,161.350006,157.970001,161.119995,161.119995,5549200
2017-07-17,162.910004,163.550003,160.020004,161.699997,161.699997,17496700
2017-07-18,176.119995,185.000000,174.240005,183.600006,183.600006,41587400
2017-07-19,182.970001,187.169998,181.750000,183.860001,183.860001,17344300
2017-07-20,183.839996,185.919998,182.699997,183.600006,183.600006,7907200
2017-07-21,182.720001,191.500000,182.710007,188.539993,188.539993,9277400
2017-07-24,188.690002,190.250000,187.009995,187.910004,187.910004,8797300
2017-07-25,187.789993,188.660004,185.809998,186.970001,186.970001,5374500
2017-07-26,187.699997,189.699997,187.509995,189.080002,189.080002,4479300
2017-07-27,189.889999,190.000000,179.380005,182.679993,182.679993,11221000
2017-07-28,182.000000,185.029999,181.179993,184.039993,184.039993,6201900
2017-07-31,184.259995,184.970001,180.649994,181.660004,181.660004,4883600
2017-08-01,182.490005,184.619995,181.429993,182.029999,182.029999,5112700
2017-08-02,182.220001,182.570007,177.809998,180.740005,180.740005,5771300
2017-08-03,180.529999,181.220001,178.020004,179.229996,179.229996,4627700
2017-08-04,179.600006,181.000000,178.500000,180.270004,180.270004,4491100
2017-08-07,181.000000,182.270004,179.100006,181.330002,181.330002,4609800
2017-08-08,181.369995,181.910004,177.449997,178.360001,178.360001,6104000
2017-08-09,171.429993,175.960007,170.009995,175.779999,175.779999,9670500
2017-08-10,174.029999,174.449997,167.600006,169.139999,169.139999,9693100
2017-08-11,169.860001,172.580002,169.000000,171.399994,171.399994,5022300
2017-08-14,169.800003,172.449997,168.800003,171.000000,171.000000,7468400
2017-08-15,171.529999,171.880005,168.250000,168.500000,168.500000,5656100
2017-08-16,167.500000,170.500000,166.250000,169.979996,169.979996,7013600
2017-08-17,169.229996,170.580002,165.720001,166.089996,166.089996,5229200
2017-08-18,165.949997,169.970001,165.800003,166.539993,166.539993,7385700
2017-08-21,166.910004,168.990005,164.229996,166.759995,166.759995,6480700
2017-08-22,167.759995,169.929993,167.039993,169.339996,169.339996,4886300
2017-08-23,168.350006,169.639999,166.699997,169.059998,169.059998,4632300
2017-08-24,169.860001,171.240005,166.149994,168.130005,168.130005,5361700
2017-08-25,168.580002,168.750000,165.500000,165.949997,165.949997,4064000
2017-08-28,166.429993,168.669998,165.600006,167.119995,167.119995,3657300
2017-08-29,165.000000,169.679993,164.729996,168.809998,168.809998,4620900
2017-08-30,169.500000,174.850006,169.369995,174.690002,174.690002,8034700
2017-08-31,175.449997,176.240005,173.860001,174.710007,174.710007,6941000
2017-09-01,175.550003,176.479996,173.919998,174.740005,174.740005,3813000
2017-09-05,173.399994,175.880005,172.440002,174.520004,174.520004,4589500
2017-09-06,175.250000,179.460007,173.729996,179.250000,179.250000,8742600
2017-09-07,178.800003,180.350006,177.100006,179.000000,179.000000,6036100
2017-09-08,178.449997,180.389999,176.250000,176.419998,176.419998,4590800
2017-09-11,178.100006,182.470001,178.029999,181.740005,181.740005,5979400
2017-09-12,182.550003,185.330002,180.639999,185.149994,185.149994,6689600
2017-09-13,184.070007,184.500000,182.550003,183.639999,183.639999,4320300
2017-09-14,183.250000,185.289993,182.070007,182.630005,182.630005,4510700
2017-09-15,182.729996,184.929993,181.429993,182.350006,182.350006,5591700
2017-09-18,183.610001,185.449997,182.729996,184.619995,184.619995,5359600
2017-09-19,184.979996,186.229996,184.169998,185.679993,185.679993,4982100
2017-09-20,186.100006,186.500000,183.199997,185.509995,185.509995,4625000
2017-09-21,185.820007,189.949997,184.509995,188.779999,188.779999,7148100
2017-09-22,188.399994,189.850006,186.389999,187.350006,187.350006,5464300
2017-09-25,186.460007,186.550003,177.699997,178.550003,178.550003,9367200
2017-09-26,180.699997,180.949997,176.550003,179.380005,179.380005,5602500
2017-09-27,181.009995,183.339996,180.699997,181.970001,181.970001,5710500
2017-09-28,181.250000,181.949997,179.360001,180.699997,180.699997,4077000
2017-09-29,180.729996,182.899994,180.649994,181.350006,181.350006,4227900
2017-10-02,182.110001,182.800003,176.580002,177.009995,177.009995,7342000
2017-10-03,177.649994,179.699997,177.550003,179.190002,179.190002,3956900
2017-10-04,181.410004,186.699997,181.250000,184.449997,184.449997,9235900
2017-10-05,185.649994,194.490005,184.490005,194.389999,194.389999,19412700
2017-10-06,194.300003,198.919998,192.050003,198.020004,198.020004,15348400
2017-10-09,199.100006,199.399994,196.559998,196.869995,196.869995,6971700
2017-10-10,197.850006,198.300003,192.100006,195.080002,195.080002,6233800
2017-10-11,195.570007,196.220001,193.809998,194.949997,194.949997,6450200
2017-10-12,196.750000,198.619995,194.710007,195.860001,195.860001,7753300
2017-10-13,199.699997,200.820007,197.190002,199.490005,199.490005,12081300
2017-10-16,201.949997,202.830002,197.860001,202.679993,202.679993,22105400
2017-10-17,200.110001,204.380005,197.770004,199.479996,199.479996,23900100
2017-10-18,199.990005,200.009995,194.250000,195.539993,195.539993,11198900
2017-10-19,193.009995,195.250000,191.160004,195.130005,195.130005,7034600
2017-10-20,195.899994,196.380005,193.770004,194.160004,194.160004,5995600
2017-10-23,194.169998,194.899994,191.029999,192.470001,192.470001,6980000
2017-10-24,192.750000,196.740005,191.399994,196.020004,196.020004,7069100
2017-10-25,195.380005,197.059998,193.009995,193.770004,193.770004,5315300
2017-10-26,194.660004,197.610001,194.080002,195.210007,195.210007,5185800
2017-10-27,197.199997,200.649994,196.220001,199.539993,199.539993,8128600
2017-10-30,199.619995,201.100006,197.070007,198.369995,198.369995,5439600
2017-10-31,198.210007,198.589996,195.220001,196.429993,196.429993,5518600
2017-11-01,197.240005,199.199997,196.000000,198.000000,198.000000,5017400
2017-11-02,197.449997,199.440002,197.089996,199.320007,199.320007,3606300
2017-11-03,199.800003,200.550003,197.990005,200.009995,200.009995,3678800
2017-11-06,200.000000,202.479996,198.089996,200.130005,200.130005,5846600
2017-11-07,200.000000,200.610001,194.800003,195.889999,195.889999,6468000
2017-11-08,196.000000,197.089996,194.740005,196.440002,196.440002,4237400
2017-11-09,194.460007,194.490005,190.809998,193.899994,193.899994,5979900
2017-11-10,191.610001,192.589996,189.500000,192.020004,192.020004,6622200
2017-11-13,191.119995,196.050003,191.000000,195.080002,195.080002,4607000
2017-11-14,193.639999,195.880005,193.000000,195.710007,195.710007,3450500
2017-11-15,194.539993,195.419998,191.529999,192.119995,192.119995,4203100
2017-11-16,194.330002,197.699997,193.750000,195.509995,195.509995,5678400
2017-11-17,195.740005,195.949997,192.649994,193.199997,193.199997,3906300
2017-11-20,193.300003,194.320007,191.899994,194.100006,194.100006,3827500
2017-11-21,195.039993,197.520004,194.970001,196.229996,196.229996,4787300
2017-11-22,196.580002,196.750000,193.630005,196.320007,196.320007,5895400
2017-11-24,196.649994,196.899994,195.330002,195.750000,195.750000,2160500
2017-11-27,195.559998,195.850006,194.000000,195.050003,195.050003,3210100
2017-11-28,195.339996,199.679993,194.009995,199.179993,199.179993,6981100
2017-11-29,198.910004,199.029999,184.320007,188.149994,188.149994,14202700
2017-11-30,190.309998,190.860001,186.679993,187.580002,187.580002,6630100
2017-12-01,186.990005,189.800003,185.000000,186.820007,186.820007,6219500
2017-12-04,189.360001,189.720001,178.380005,184.039993,184.039993,9069800
2017-12-05,183.500000,188.139999,181.190002,184.210007,184.210007,5783700
2017-12-06,183.380005,186.479996,182.880005,185.300003,185.300003,5490100
2017-12-07,185.710007,187.339996,183.220001,185.199997,185.199997,4659500
2017-12-08,186.500000,189.419998,186.300003,188.539993,188.539993,4987300
2017-12-11,187.850006,189.419998,185.910004,186.220001,186.220001,5298600
2017-12-12,186.009995,187.850006,184.820007,185.729996,185.729996,4265900
2017-12-13,186.100006,188.690002,185.410004,187.860001,187.860001,4710000
2017-12-14,187.979996,192.639999,187.199997,189.559998,189.559998,7792800
2017-12-15,189.610001,191.429993,188.009995,190.119995,190.119995,7285600
2017-12-18,191.199997,191.649994,188.899994,190.419998,190.419998,5011000
2017-12-19,190.179993,190.300003,185.750000,187.020004,187.020004,7033000
2017-12-20,187.940002,189.110001,185.259995,188.820007,188.820007,6545400
2017-12-21,189.440002,190.949997,187.580002,188.619995,188.619995,4729800
2017-12-22,188.330002,190.949997,186.800003,189.940002,189.940002,3878900
2017-12-26,189.779999,189.940002,186.399994,187.759995,187.759995,3045700
2017-12-27,187.800003,188.100006,185.220001,186.240005,186.240005,4002100
2017-12-28,187.179993,194.490005,186.850006,192.710007,192.710007,10107400
2017-12-29,192.509995,193.949997,191.220001,191.960007,191.960007,5187600
2018-01-02,196.100006,201.649994,195.419998,201.070007,201.070007,10966900
2018-01-03,202.050003,206.210007,201.500000,205.050003,205.050003,8591400
2018-01-04,206.199997,207.050003,204.000000,205.630005,205.630005,6029600
2018-01-05,207.250000,210.020004,205.589996,209.990005,209.990005,7033200
2018-01-08,210.020004,212.500000,208.440002,212.050003,212.050003,5580200
2018-01-09,212.110001,212.979996,208.589996,209.309998,209.309998,6125900
2018-01-10,207.570007,213.639999,206.910004,212.520004,212.520004,5951500
2018-01-11,214.289993,217.750000,213.350006,217.240005,217.240005,7659500
2018-01-12,217.179993,222.550003,216.000000,221.229996,221.229996,8199400
2018-01-16,224.240005,226.070007,217.199997,221.529999,221.529999,13516100
2018-01-17,221.000000,221.149994,216.320007,217.500000,217.500000,9123100
2018-01-18,220.339996,220.580002,216.550003,220.330002,220.330002,8225300
2018-01-19,222.750000,223.490005,218.500000,220.460007,220.460007,10548600
2018-01-22,222.000000,227.789993,221.199997,227.580002,227.580002,17703300
2018-01-23,255.050003,257.709991,248.020004,250.289993,250.289993,27705300
2018-01-24,250.880005,261.709991,249.309998,261.299988,261.299988,17352400
2018-01-25,263.000000,272.299988,260.230011,269.700012,269.700012,15336400
2018-01-26,271.489990,274.600006,268.760010,274.600006,274.600006,11021800
2018-01-29,274.200012,286.809998,273.920013,284.589996,284.589996,17529700
2018-01-30,277.000000,282.730011,272.700012,278.799988,278.799988,12482900
2018-01-31,281.940002,282.290009,269.579987,270.299988,270.299988,11695100
2018-02-01,266.410004,271.950012,263.380005,265.070007,265.070007,9669000
2018-02-02,263.000000,270.619995,262.709991,267.429993,267.429993,9123600
2018-02-05,262.000000,267.899994,250.029999,254.259995,254.259995,11896100
2018-02-06,247.699997,266.700012,245.000000,265.720001,265.720001,12595800
2018-02-07,266.579987,272.450012,264.329987,264.559998,264.559998,8981500
2018-02-08,267.079987,267.619995,250.000000,250.100006,250.100006,9306700
2018-02-09,253.850006,255.800003,236.110001,249.470001,249.470001,16906900
2018-02-12,252.139999,259.149994,249.000000,257.950012,257.950012,8534900
2018-02-13,257.290009,261.410004,254.699997,258.269989,258.269989,6855200
2018-02-14,260.470001,269.880005,260.329987,266.000000,266.000000,10972000
2018-02-15,270.029999,280.500000,267.630005,280.269989,280.269989,10759700
2018-02-16,278.730011,281.959991,275.690002,278.519989,278.519989,8312400
2018-02-20,277.739990,285.809998,276.609985,278.549988,278.549988,7769000
2018-02-21,282.070007,286.640015,280.010010,281.040009,281.040009,9371100
2018-02-22,283.880005,284.500000,274.450012,278.140015,278.140015,8891500
2018-02-23,281.000000,286.000000,277.809998,285.929993,285.929993,7301800
2018-02-26,288.750000,295.649994,287.010010,294.160004,294.160004,10268600
2018-02-27,294.769989,297.359985,290.589996,290.609985,290.609985,9416500
2018-02-28,293.100006,295.750000,290.779999,291.380005,291.380005,7653500
2018-03-01,292.750000,295.250000,283.829987,290.390015,290.390015,11932100
2018-03-02,284.649994,301.179993,283.230011,301.049988,301.049988,13345300
2018-03-05,302.850006,316.910004,297.600006,315.000000,315.000000,18986100
2018-03-06,319.880005,325.790009,316.500000,325.220001,325.220001,18525800
2018-03-07,320.000000,323.739990,314.549988,321.160004,321.160004,17132200
2018-03-08,322.200012,322.920013,314.130005,317.000000,317.000000,11340100
2018-03-09,321.329987,331.440002,320.230011,331.440002,331.440002,14500200
2018-03-12,333.559998,333.980011,318.600006,321.299988,321.299988,20369200
2018-03-13,323.869995,325.839996,313.279999,315.880005,315.880005,12917200
2018-03-14,318.160004,323.880005,317.700012,321.549988,321.549988,10475100
2018-03-15,323.170013,323.399994,318.140015,321.089996,321.089996,5642900
2018-03-16,321.420013,324.109985,318.369995,318.450012,318.450012,7333700
2018-03-19,315.799988,317.000000,307.339996,313.480011,313.480011,9925200
2018-03-20,313.260010,319.500000,312.799988,317.500000,317.500000,5991900
2018-03-21,316.350006,319.399994,314.510010,316.480011,316.480011,5263900
2018-03-22,313.070007,314.119995,305.660004,306.700012,306.700012,8063300
2018-03-23,307.410004,309.369995,300.359985,300.940002,300.940002,9529900
2018-03-26,309.359985,321.029999,302.000000,320.350006,320.350006,11988300
2018-03-27,322.489990,322.899994,297.000000,300.690002,300.690002,12068600
2018-03-28,298.390015,298.799988,281.609985,285.769989,285.769989,18972900
2018-03-29,287.000000,295.350006,275.899994,295.350006,295.350006,19145500
2018-04-02,291.940002,292.869995,275.049988,280.290009,280.290009,13405800
2018-04-03,285.450012,291.250000,278.010010,283.670013,283.670013,12694900
2018-04-04,273.630005,290.309998,271.220001,288.940002,288.940002,12914000
2018-04-05,293.149994,299.160004,289.109985,293.970001,293.970001,10655200
2018-04-06,289.100006,298.850006,285.649994,288.850006,288.850006,11444800
2018-04-09,291.769989,299.549988,289.119995,289.929993,289.929993,9853600
2018-04-10,297.679993,298.950012,291.690002,298.070007,298.070007,10660500
2018-04-11,302.880005,311.640015,301.820007,303.670013,303.670013,14877400
2018-04-12,309.720001,311.130005,306.750000,309.250000,309.250000,10249400
2018-04-13,317.290009,317.489990,308.230011,311.649994,311.649994,12046600
2018-04-16,315.989990,316.100006,304.000000,307.779999,307.779999,20307900
2018-04-17,329.660004,338.619995,323.769989,336.059998,336.059998,33866500
2018-04-18,336.299988,338.820007,331.100006,334.519989,334.519989,11221100
2018-04-19,332.880005,335.309998,326.769989,332.700012,332.700012,8438800
2018-04-20,332.220001,336.510010,326.000000,327.769989,327.769989,9158700
2018-04-23,329.149994,331.220001,317.079987,318.690002,318.690002,8968000
2018-04-24,319.220001,320.250000,302.309998,307.019989,307.019989,13893200
2018-04-25,306.369995,309.980011,292.619995,305.760010,305.760010,14919700
2018-04-26,310.000000,316.630005,305.579987,313.980011,313.980011,9266700
2018-04-27,316.250000,317.450012,306.500000,311.760010,311.760010,7074400
2018-04-30,311.070007,317.880005,310.119995,312.459991,312.459991,6088800
2018-05-01,310.359985,313.480011,306.690002,313.299988,313.299988,6036600
2018-05-02,311.649994,317.100006,310.399994,313.359985,313.359985,5697100
2018-05-03,312.589996,312.589996,305.730011,311.690002,311.690002,6135800
2018-05-04,308.709991,320.980011,307.670013,320.089996,320.089996,8209500
2018-05-07,321.989990,329.019989,319.339996,326.260010,326.260010,7117800
2018-05-08,325.899994,327.350006,323.049988,326.890015,326.890015,4735700
2018-05-09,328.790009,331.950012,327.510010,330.299988,330.299988,5633400
2018-05-10,331.500000,332.059998,327.339996,329.600006,329.600006,5302300
2018-05-11,329.649994,331.260010,324.869995,326.459991,326.459991,4589700
2018-05-14,327.250000,330.500000,327.040009,328.529999,328.529999,4089800
2018-05-15,325.940002,326.940002,322.429993,326.130005,326.130005,4746100
2018-05-16,326.279999,329.720001,325.140015,328.190002,328.190002,3671700
2018-05-17,327.529999,330.450012,323.170013,325.220001,325.220001,4935700
2018-05-18,324.899994,326.420013,322.799988,324.179993,324.179993,3577700
2018-05-21,327.109985,331.880005,325.450012,331.820007,331.820007,6657300
2018-05-22,334.049988,336.630005,331.149994,331.619995,331.619995,5964400
2018-05-23,329.040009,345.000000,328.089996,344.720001,344.720001,10049100
2018-05-24,344.339996,354.000000,341.119995,349.290009,349.290009,14758600
2018-05-25,349.899994,354.359985,348.829987,351.290009,351.290009,7817400
2018-05-29,351.500000,356.100006,346.709991,349.730011,349.730011,9717900
2018-05-30,352.369995,354.000000,349.260010,353.540009,353.540009,5685500
2018-05-31,353.799988,355.529999,350.209991,351.600006,351.600006,6921700
2018-06-01,353.880005,359.989990,352.820007,359.929993,359.929993,7112300
2018-06-04,362.679993,363.000000,355.510010,361.809998,361.809998,7682000
2018-06-05,363.320007,369.829987,361.410004,365.799988,365.799988,8358000
2018-06-06,367.779999,369.679993,363.329987,367.450012,367.450012,7712300
2018-06-07,368.540009,368.700012,357.799988,361.399994,361.399994,8278000
2018-06-08,358.059998,362.390015,356.250000,360.570007,360.570007,5225700
2018-06-11,361.880005,365.670013,360.910004,361.450012,361.450012,4432400
2018-06-12,363.600006,365.980011,362.000000,363.829987,363.829987,4291000
2018-06-13,367.529999,384.250000,364.109985,379.929993,379.929993,18222800
2018-06-14,384.269989,395.029999,383.250000,392.869995,392.869995,14598300
2018-06-15,390.709991,398.859985,387.510010,391.980011,391.980011,13588100
2018-06-18,387.720001,393.160004,386.500000,390.399994,390.399994,6824800
2018-06-19,389.500000,405.290009,388.500000,404.980011,404.980011,16697100
2018-06-20,415.149994,419.470001,409.600006,416.760010,416.760010,16494600
2018-06-21,421.380005,423.209991,406.369995,415.440002,415.440002,18389900
2018-06-22,419.980011,420.500000,409.649994,411.089996,411.089996,10428600
2018-06-25,404.690002,405.989990,378.750000,384.480011,384.480011,22490900
2018-06-26,393.279999,404.779999,389.049988,399.390015,399.390015,15191200
2018-06-27,407.559998,411.589996,390.000000,390.390015,390.390015,16541400
2018-06-28,395.000000,396.899994,387.100006,395.420013,395.420013,12219900
2018-06-29,399.190002,401.329987,390.549988,391.429993,391.429993,9252500
2018-07-02,385.450012,398.380005,380.000000,398.179993,398.179993,8142500
2018-07-03,399.489990,399.980011,389.500000,390.519989,390.519989,5280300
2018-07-05,393.799988,399.239990,390.859985,398.390015,398.390015,8448900
2018-07-06,397.450012,408.649994,395.519989,408.250000,408.250000,8629600
2018-07-09,415.950012,419.119995,411.100006,418.970001,418.970001,11127500
2018-07-10,417.239990,419.440002,413.079987,415.630005,415.630005,9382900
2018-07-11,411.339996,419.769989,410.600006,418.649994,418.649994,9713900
2018-07-12,415.160004,416.790009,407.799988,413.500000,413.500000,12743300
2018-07-13,409.190002,410.000000,395.079987,395.799988,395.799988,15719000
2018-07-16,398.980011,403.359985,391.750000,400.480011,400.480011,22960000
2018-07-17,346.950012,385.000000,344.000000,379.480011,379.480011,58410400
2018-07-18,381.239990,383.130005,372.359985,375.130005,375.130005,21746300
2018-07-19,371.059998,375.750000,363.000000,364.230011,364.230011,16878700
2018-07-20,364.920013,370.500000,360.140015,361.049988,361.049988,15096700
2018-07-23,359.149994,363.899994,353.600006,362.660004,362.660004,11505200
2018-07-24,366.940002,367.399994,354.559998,357.320007,357.320007,12851500
2018-07-25,357.570007,363.279999,355.649994,362.869995,362.869995,8467800
2018-07-26,358.190002,365.540009,356.630005,363.089996,363.089996,6993700
2018-07-27,366.850006,367.000000,351.649994,355.209991,355.209991,8949500
2018-07-30,351.929993,352.029999,334.019989,334.959991,334.959991,18260700
2018-07-31,331.510010,342.500000,328.000000,337.450012,337.450012,14085400
2018-08-01,335.869995,344.410004,334.019989,338.380005,338.380005,7790500
2018-08-02,337.230011,345.000000,334.709991,344.500000,344.500000,7131300
2018-08-03,347.750000,347.859985,338.480011,343.089996,343.089996,8848400
2018-08-06,342.869995,351.980011,341.739990,350.920013,350.920013,8198100
2018-08-07,353.230011,357.309998,349.010010,351.829987,351.829987,7970900
2018-08-08,352.209991,352.290009,346.609985,347.609985,347.609985,5394700
2018-08-09,347.959991,352.440002,345.820007,349.359985,349.359985,4820300
2018-08-10,346.910004,349.100006,344.420013,345.869995,345.869995,4328400
2018-08-13,339.890015,347.190002,339.070007,341.309998,341.309998,6888900
2018-08-14,342.089996,342.410004,336.250000,337.489990,337.489990,5805200
2018-08-15,334.029999,335.500000,321.000000,326.399994,326.399994,11784500
2018-08-16,329.899994,331.170013,321.209991,322.440002,322.440002,6689700
2018-08-17,319.010010,324.369995,312.959991,316.779999,316.779999,10407900
2018-08-20,314.640015,331.600006,310.929993,327.730011,327.730011,13591100
2018-08-21,331.000000,341.500000,329.700012,338.019989,338.019989,14783200
2018-08-22,338.489990,346.209991,337.410004,344.440002,344.440002,8930700
2018-08-23,348.109985,350.079987,337.649994,339.170013,339.170013,11336400
2018-08-24,346.000000,359.149994,344.540009,358.820007,358.820007,14729100
2018-08-27,367.149994,374.489990,360.000000,364.579987,364.579987,17427300
2018-08-28,367.230011,369.989990,360.380005,368.489990,368.489990,9222600
2018-08-29,367.200012,369.859985,362.910004,368.040009,368.040009,8118700
2018-08-30,365.000000,376.809998,363.540009,370.980011,370.980011,10981000
2018-08-31,370.660004,376.000000,367.079987,367.679993,367.679993,7943400
2018-09-04,366.470001,368.880005,361.260010,363.600006,363.600006,7605200
2018-09-05,360.000000,363.390015,335.829987,341.179993,341.179993,13092800
2018-09-06,347.440002,356.000000,341.989990,346.459991,346.459991,13050200
2018-09-07,342.200012,355.750000,341.250000,348.679993,348.679993,9105800
2018-09-10,352.269989,352.500000,343.079987,348.410004,348.410004,5752200
2018-09-11,344.670013,356.149994,343.899994,355.929993,355.929993,6198100
2018-09-12,359.079987,370.429993,356.239990,369.950012,369.950012,10480800
2018-09-13,371.910004,374.089996,366.839996,368.149994,368.149994,8366100
2018-09-14,368.549988,371.089996,363.459991,364.559998,364.559998,4756400
2018-09-17,364.220001,367.329987,349.570007,350.350006,350.350006,7071900
2018-09-18,353.670013,368.149994,351.559998,367.649994,367.649994,10414000
2018-09-19,373.950012,377.609985,359.170013,366.959991,366.959991,11876800
2018-09-20,370.260010,370.260010,363.170013,365.359985,365.359985,6768100
2018-09-21,366.589996,372.220001,360.739990,361.190002,361.190002,11930600
2018-09-24,359.000000,373.640015,354.329987,369.609985,369.609985,9322500
2018-09-25,370.230011,371.339996,364.489990,369.429993,369.429993,6799800
2018-09-26,373.589996,382.000000,370.880005,377.880005,377.880005,13799700
2018-09-27,379.869995,383.200012,376.000000,380.709991,380.709991,7326200
2018-09-28,379.239990,380.799988,373.730011,374.130005,374.130005,7114900
2018-10-01,375.850006,386.109985,375.589996,381.429993,381.429993,8376600
2018-10-02,384.380005,386.799988,373.829987,377.140015,377.140015,8638700
2018-10-03,378.529999,380.929993,374.880005,377.049988,377.049988,5798600
2018-10-04,375.880005,375.920013,360.399994,363.649994,363.649994,9074400
2018-10-05,359.769989,363.500000,343.000000,351.350006,351.350006,13523000
2018-10-08,345.179993,352.950012,338.109985,349.100006,349.100006,12375500
2018-10-09,348.480011,358.720001,347.089996,355.709991,355.709991,8755000
2018-10-10,353.519989,355.149994,325.390015,325.890015,325.890015,17183100
2018-10-11,324.940002,334.200012,315.809998,321.100006,321.100006,16082100
2018-10-12,339.570007,341.299988,328.899994,339.559998,339.559998,14870800
2018-10-15,337.630005,339.209991,326.929993,333.130005,333.130005,11215000
2018-10-16,337.239990,347.950012,330.559998,346.399994,346.399994,20156400
2018-10-17,378.329987,380.000000,356.500000,364.700012,364.700012,32610900
2018-10-18,360.670013,362.200012,346.049988,346.709991,346.709991,18461000
2018-10-19,351.000000,355.799988,332.200012,332.670013,332.670013,16717200
